UID,Name,Club,Position,Age,Average Transfer Value,Saves Parried,Saves Tipped,Saves Held,Save Percentage,Passes Completed per 90,Inteceptions per 90,Expected Save Percentage,Expected Goals pervented per 90,Average Rating,Games Win Ratio,Goals allowed Per 90,Total Saves Per 90,Key Passes Per 90,Passes attempted per 90,Pass Completion Ratio,Progressive Passes Per 90,Player Of The Match,Pens Saved Ratio,Salary
43461795,Serafino Iannì - Italian,Gioiese - Italian Serie D Grp. I,GK,21,"£50,000.00",0.00,0.00,0.00,12.21,12.21,0,0,0,7.56,0.95,0.95,0.00,0,20,0.61,0,4.00,0,325.00
91202815,Marcel Schleicher - German,Göppingen - German Div. Baden-Württemberg,GK,29,"£47,500.00",0.00,0.00,0.00,12.12,12.12,0,0,0,7.15,1.21,1.21,0.00,0,20,0.61,0,1.00,0,475.00
43500718,Alberto Rossi - Italian,Manfredonia - Italian Serie D Grp. H,GK,20,"£45,000.00",0.00,0.00,0.00,11.71,11.71,0,0,0,7.26,1.18,1.18,0.00,0,20.35,0.58,0,4.00,0,250.00
2000071278,Fabian Eutinger - German,Rain - German Div. Bavaria South,GK,20,"£35,000.00",0.00,0.00,0.00,12.25,12.25,0,0,0,7.27,1.02,1.02,0.00,0,20.82,0.59,0,1.00,0,700.00
49050072,Abdoul Coulibaly - French,AS Saint-Priest - French National 3 - Group K,GK,23,"£30,000.00",0.00,0.00,0.00,12.09,12.09,0,0,0,7.2,1.07,1.07,0.00,0,20,0.6,0,0.00,0,525.00
23287638,Saoud Al-Qenaei - Kuwaiti,Salmiya - Kuwaiti Premier League,GK,29,"£27,500.00",0.00,0.00,0.00,12.04,12.04,0,0,0,7.24,1.17,1.17,0.00,0,20.45,0.59,0,1.00,0,"1,200.00"
28113412,Harrison Foulkes - English,Eastbourne Borough - Vanarama National League South,GK,23,"£22,500.00",40.00,12.00,20.00,15.73,15.73,0.21,0.18,0.18,6.72,0.85,0.85,1.00,0.19,24.4,0.64,0.34,1.00,0,400.00
48036556,Didier Desprez - French,Dudelange - Luxembourg National Division,GK,25,"£20,000.00",83.00,28.00,41.00,12.94,12.94,0,-0.14,-0.14,6.54,1.7,1.7,3.00,0.05,22.56,0.57,0,2.00,0.25,425.00
2000163330,Ron Meyer - German,Wegberg-Beeck - German Regional Division West,GK,26,"£20,000.00",56.00,14.00,19.00,12.62,12.62,0,-0.13,-0.13,6.81,1.28,1.28,2.00,0.05,21.73,0.58,0,4.00,0.25,350.00
43500294,Fabio Frattini - Italian,Borgo San Donnino - Italian Serie D Grp. D,GK,21,"£17,500.00",0.00,0.00,0.00,12.09,12.09,0,0,0,7.05,1.28,1.28,0.00,0,20,0.6,0,2.00,0,275.00
19183788,Simão - Brazilian,AVS SAD - Portuguese Second League,GK,30,"£17,500.00",0.00,0.00,0.00,12.29,12.29,0,0,0,7.26,1.09,1.09,0.00,0,20,0.61,0,1.00,0,"1,300.00"
2000011086,Gorka Campo - Spanish,Zamudio - Spanish División Honor Vizcaya,GK,24,"£17,500.00",0.00,0.00,0.00,12.01,12.01,0,0,0,7.22,1.09,1.09,0.00,0,20.42,0.59,0,2.00,0,375.00
2000273914,Sergio Aragoneses - Spanish,Tenerife C - Spanish Preferente Tenerife,GK,19,"£17,500.00",53.00,16.00,27.00,12.68,12.68,0,0.26,0.26,6.82,1.16,1.16,2.00,0,21.4,0.59,0,6.00,0,250.00
11026078,Gentian Selmani - Albanian,KF Tirana - Albanian Superleague,GK,26,"£17,500.00",16.00,5.00,2.00,12.25,12.25,0,0.05,0.05,7.55,1.24,1.24,0.00,0.04,20.41,0.6,0,3.00,0,210.00
18060240,Bo Geens - Belgian,City Pirates Antwerpen - Belgian Second Amateur Division VV B,GK,28,"£15,000.00",64.00,17.00,26.00,12.42,12.42,0,0.08,0.08,6.88,1.02,1.02,2.00,0,20.58,0.6,0,3.00,0.67,350.00
2000072752,Francesco Bruno - Italian,Pro Gorizia - Italian Eccellenza Friuli-Venezia Giulia,GK,20,"£15,000.00",0.00,0.00,0.00,11.67,11.67,0,0,0,7.33,1.02,1.02,0.00,0,20,0.58,0,2.00,0,230.00
2000106914,Angelo Gaglione - Italian,Afragolese - Italian Eccellenza Campania Grp.A,GK,18,"£14,000.00",0.00,0.00,0.00,12.14,12.14,0,0,0,7.26,1.12,1.12,0.00,0,20,0.61,0,0.00,0,130.00
28088504,Luke McGee - English,Tranmere - Sky Bet League Two,GK,28,"£10,000.00",62.00,20.00,31.00,11.52,11.52,0,-0.08,-0.08,6.65,1.19,1.19,2.00,0.02,21.8,0.53,0.02,2.00,0,"1,800.00"
14123562,Joaquín Mendive - Argentinian,Paganese - Italian Serie D Grp. H,GK,27,"£9,000.00",0.00,0.00,0.00,11.79,11.79,0,0,0,7.28,1.14,1.14,0.00,0,20,0.59,0,1.00,0,525.00
2000075640,Lorenzo Viti - Italian,Carpi - Italian Serie D Grp. D,GK,20,"£9,000.00",0.00,0.00,0.00,12.31,12.31,0,0,0,7.33,1.02,1.02,0.00,0,20.44,0.6,0,2.00,0,450.00
43374430,Diego Abbrandini - Italian,CazzagoBornato - Italian Eccellenza Lombardia Grp.C,GK,22,"£8,000.00",0.00,0.00,0.00,12.14,12.14,0,0,0,7.62,1.09,1.09,0.00,0,20,0.61,0,2.00,0,200.00
2000263814,Cristian Lorenzi - Italian,Carpi - Italian Serie D Grp. D,GK,18,"£8,000.00",0.00,0.00,0.00,11.16,11.16,0,0,0,6.18,1.4,1.4,0.00,0,20,0.56,0,0.00,0,190.00
29077766,James Montgomery - English,Spennymoor - Vanarama National League North,GK,30,"£7,000.00",2.00,1.00,2.00,14.56,14.56,0.02,0.02,0.02,7.32,0.93,0.93,0.00,0.15,22.34,0.65,0.29,1.00,0,600.00
2000021382,Andrea Piga - Italian,Folgore Caratese - Italian Serie D Grp. B,GK,20,"£7,000.00",0.00,0.00,0.00,11.44,11.44,0,0,0,7.08,1.14,1.14,0.00,0,20,0.57,0,1.00,0,275.00
18113058,Ulric Cremers - French,La Louvière Centre - Belgian Second Amateur Division ACFF C,GK,29,"£7,000.00",84.00,13.00,25.00,8.67,8.67,0,0.26,0.26,6.7,1.19,1.19,2.00,0.07,20.08,0.43,0,0.00,0,450.00
67294764,Christian Gómez - Spanish,Illescas - Spanish Federation Second Group 5,GK,24,"£6,000.00",9.00,5.00,6.00,11.34,11.34,0,-0.02,-0.02,7.19,1.28,1.28,0.00,0,20.09,0.56,0,1.00,0,275.00
2000163736,Joshua Bysouth - Scottish,Irvine Meadow - West of Scotland Premier Division,GK,20,"£6,000.00",0.00,0.00,0.00,12,12,0,0,0,7.04,1.26,1.26,0.00,0,20,0.6,0,0.00,1,150.00
67277872,Fran Martínez - Spanish,Ursaria - Spanish Federation Second Group 5,GK,24,"£5,000.00",56.00,23.00,26.00,11.71,11.71,0,-0.02,-0.02,6.63,1.4,1.4,3.00,0,21.77,0.54,0,0.00,0,300.00
85087276,Ibrahima Sy - Senegalese,Le Poiré-sur-Vie VF - French National 3 - Group D,GK,28,"£5,000.00",0.00,0.00,0.00,12.07,12.07,0,0,0,7.67,1.02,1.02,0.00,0,20,0.6,0,1.00,0,350.00
43270516,Aniello Viscovo - Italian,Fano - Italian Serie D Grp. F,GK,24,"£4,500.00",0.00,0.00,0.00,12,12,0,0,0,7.02,1.21,1.21,0.00,0,20,0.6,0,1.00,0,700.00
61089448,Ross Matthews - Scottish,Montrose - cinch League 1,GK,21,"£4,000.00",84.00,26.00,26.00,11.16,11.16,0,-0.21,-0.21,6.55,1.44,1.44,2.00,0.02,21.4,0.52,0,4.00,0.5,100.00
64043302,Ahmed Al-Rawahi - Omani,Al-Seeb - Omani Professional League,GK,30,"£4,000.00",51.00,14.00,35.00,12.75,12.75,0,0,0,6.93,0.99,0.99,2.00,0,22.72,0.56,0,1.00,0,140.00
85144182,Alexandre Marfaing - French,FC Ouest Tourangeau 37 - French National 3 - Group C,GK,28,"£4,000.00",1.00,1.00,1.00,11.56,11.56,0,-0.05,-0.05,7.61,0.98,0.98,0.00,0,19.93,0.58,0,3.00,0,375.00
50036324,Julien Perez - French,GFA Rumilly-Vallières - French National 3 - Group J,GK,30,"£3,500.00",50.00,19.00,31.00,11.43,11.43,0,0.06,0.06,6.64,1.14,1.14,2.00,0,23.2,0.49,0,2.00,0,425.00
2000041878,Jonny - Spanish,Marchamalo - Spanish Federation Third Group 18,GK,29,"£3,000.00",0.00,0.00,0.00,11.99,11.99,0,0,0,7.27,1.38,1.38,0.00,0,20.82,0.58,0,2.00,0,240.00
37041412,Mike Havekotte - Dutch,TOP Oss - Keuken Kampioen Divisie,GK,28,"£2,250.00",56.00,23.00,24.00,13.38,13.38,0,-0.16,-0.16,6.58,1.42,1.42,2.00,0.09,23.48,0.57,0,2.00,0,650.00
48031026,Alexandre Menay - French,OFC Les Mureaux - French National 3 - Group F,GK,27,"£2,000.00",0.00,0.00,0.00,12.09,12.09,0,0,0,7.54,0.98,0.98,0.00,0,20,0.6,0,4.00,0,275.00
48044542,Amine Ichalalen - Moroccan,Stade Beaucairois FC - French National 3 - Group A,GK,25,#VALUE!,9.00,2.00,1.00,11.31,11.31,0,0.08,0.08,7.4,1.09,1.09,0.00,0,20.4,0.55,0,0.00,1,250.00
49037486,Valentin Dahak - French,Onet le Château - French National 3 - Group B,GK,25,"£1,500.00",0.00,0.00,0.00,12.58,12.58,0,0,0,7.31,1.23,1.23,0.00,0,20.42,0.62,0,0.00,0,150.00
49062632,Enzo Garrido - French,Blagnac FC - French National 3 - Group B,GK,20,"£1,500.00",2.00,1.00,1.00,13.35,13.35,0.09,0.03,0.03,7.58,1,1,0.00,0.02,21.3,0.63,0.14,3.00,0,160.00
49054622,Geoffrey Agbolossou - Togolese,FC Balagne - French National 3 - Group H,GK,24,"£1,250.00",0.00,0.00,0.00,12,12,0,0,0,7.31,1.29,1.29,0.00,0,20.4,0.59,0,1.00,0,140.00
48036226,Killian Le Roy - French,Racing FC Luxembourg - Luxembourg National Division,GK,26,"£1,000.00",0.00,0.00,0.00,11.92,11.92,0,0,0,7.03,1.18,1.18,0.00,0,20.4,0.58,0,1.00,0,60.00
